category,city,about,reference,country,company,zipcode,website,sector,address,employees,turnover,selection,dep_str,cgpa_criteria,criteria,profile,cgpa_cutoff,day,package,contract
"
Other
",Gurgaon,"The Firm offers a structured training and mentorship programme, excellent work-life balance and pay scales that are higher than industry benchmarks. The selected candidate will be responsible for closely working with a team of IPR attorneys providing best in class services to clients of repute. The primary work would include patent searches, drafting, filing, prosecution, freedom-to-operate opinions and allied matters. We look for good academic record, analytical skills and sound communication skills.","
Contacted by CDC
",India,Remfry & Sagar,122 009,www.remfry.com,"
Professional Services
","Remfry House at the Millennium PlazaSector 27,",Between 100 to 500,Between 100 to 500,Resume,IP,,,Associate,0.0,4,700000 INR  [The selected candidate will also be eligible for performance based bonus post completion of probation period (6 months) at the end of the year.],The Firm will sign a contract with the selected candidate.
"
Private
",Gurgaon,"- Patent searching and drafting;
- Preparing and filing Replies to Examination Reports from the Indian Patent Office;
- Reporting Examination Reports;
- Preparing opinions related to patentability of an invention;
- Handling client queries and correspondence;
- Reviewing forms, emails and reporting letters prepared by paralegals.","
Contacted by CDC
",India,Chadha & Chadha,122002,Chadha & Chadha,"
Professional Services
","Level 18, One Horizon Center, Golf Course Road, DLF Phase 5",Between 50 to 100,,"Resume,GD,Online/Offline test (Max 30 mins)",IP,,,Patent Associate,0.0,10,1000000 INR  [No other components],Probation Period for 6 Months
"
StartUp
",Mumbai,Attached in the email,"
Self
",India,Turtlemint,400099,www.turtlemint.com,"
IT/Software
","002, Ground Floor, Prime Corporate Park, Near ITC Maratha, Sahar Road, Andheri East, Mumbai - 400 099.",,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_IP_ID_RT_MM_WM_RE,,.,Assistant Product Manager,0.0,,18L FIXED + 10% VARIABLE INR  [will share with offer letter],NA
"
Private
",Noida,"Patent drafting, patent prosecution, appeals, oppositions, revocations, search and analytics etc.","
Self
",India,Anand & Anand,201301,https://www.anandandanand.com/,"
Others
","First Channel Building Plot No. 17A, Sector 16A, Film City",,,Resume,IP,,,Associate,0.0,4,600000 INR  [600000],No
"
MNC
",Bangalore,"Roles and Responsibilities: ● Own development, design, scaling and maintenance of application and messaging engines that power the central platform of Capillary's Cloud CRM product. ● Contribute to overall design and roadmap. Required Skills: ● Innovative and self-motivated with passion to develop complex and scalable applications. ● Strong focus on algorithms and data structures. ● Strong coding and design skills with prior experience in developing scalable & high availability applications using Core Java/J2EE, Spring, Hibernate. ● Work experience with Relational databases is required (Primarily MySQL) ● Prior work experience with Non-Relational databases (primarily Redis, MongoDb) is an added plus. ● Strong Analytical and Problem Solving Skills.","
Self
",India,Capillary Technologies,560068,www.capillarytech.com,"
IT/Software
","Capillary Technologies 31/9, Krimson Square, 1st Floor Roopena Agrahara, Hosur Main Road ",Between 500 to 1000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_WM_RE,,,Software Development Engineer,0.0,4,"1612782 INR  [Btech: 16,12,782 [1225829 (Fixed) + +86,953 (Benefits and others) + 100000
(Joining Bonus) + 20000 (Relocation Bonus) +
150000(Retention Bonus) + 1 Week Accommodation ]
MTech(Dual): 18,79,719
[13,42,469 (Fixed) +
87250 (Benefits and others) + 100000 (Joining Bonus) +
20000 (Relocation Bonus) + 150000(Retention Bonus) + 1
Week Accommodation]]]",NO
"
Private
",Hyderabad,"Engineering Development Group - India
About this Program
Would you like to join a team where you are given the flexibility to select, explore & contribute to collaborative technical projects instead of being assigned to any project?

Do you want to pursue a technical career path in an area that aligns with your long-term professional interests and subsequently transition to the area?

How about working with managers who are invested in your success and will coach you to develop your leadership skills?

If you are looking for one or more of the above, join the Engineering Development Group (EDG) to help kickstart your career.
EDG is a leadership development program within the MathWorks Development organization. It is designed to enable success of team members by empowering them to develop and demonstrate their skills for a rewarding career.

Below are a few of the focus areas in the Hyderabad and Bangalore locations.

Areas of focus for the Hyderabad EDG team include: Algorithm Development in Autonomous Systems and Communication Systems spanning Signal Processing, Wireless, Image Processing, Computer Vision,  Sensor Fusion, Radar and Lidar Processing, Automated Driving, Robotics/UAV, FPGA/HDL, Machine Learning, Deep Learning, Wireless Protocols (5G,WLAN, Bluetooth), SIMD Optimization, Embedded Software, Sensors/Hardware, Web & App Development, Automatic Code Generation, EM, RF, and Antennas.

Areas of focus for the Bangalore EDG team include: Software Engineering, Web Development, Machine Learning, Deep Learning, Algorithm Development, IoT, Code Infrastructure/Architecture, Code Coverage, Numeric Solvers, Embedded Targets, Automatic Code Generation, UAVs/Drones, Communication Protocols, Motor Control, Controls for Power Conversion, Hardware Platforms, System Software.

Responsibilities
This role consists of components that include tailored technical training, personalized Customer Experience Curriculum and contribution to collaborative project work with technical team(s) of your choice. More specifically, you will:

Explore, identify and transition to teams that match your professional interests and advance your career. Contribute by writing code or creating product demos via challenging technical projects with teams across Development and Customer-facing Engineering organizations.
Develop & demonstrate customer experience/perspective & problem-solving skills by working on complex technical issues in MATLAB, Simulink and our entire suite of products. Specialize & develop deeper technical skills in your domain.
Demonstrate proactive initiative, lead process improvement projects and coach & mentor others. Benefit from extensive learning opportunities through training, mentorship and knowledge sharing forums.
 

Qualifications
Bachelors (for our Undergraduate program) or Masters/Ph.D. (for our Graduate program) in Engineering or Computer Science
Strong academic record
Excellent communication and time management skills
Strong programming skills
A good understanding of Object Oriented methodologies
Experience with MATLAB is a plus","
Contacted by CDC
",India,MATHWORKS INDIA PVT LTD,500081,www.mathworks.com,"
IT/Software
","MathWorks India Pvt Ltd, Salarpuria Sattva Knowledge City, 2nd and 3rd Floors, Octave Block, Raidurg, Hyderabad  500 081",Between 100 to 500,,"Resume,GD,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_MM_WM_RE,,,Engineer in Engineering Development Group,0.0,2,"1485000 INR  [1485000- 1800000 [Fixed-1290000]
Sign on Bonus : 150000 Relocation Bonus :20K]",No
"
MNC
",Gurgaon,"Position title:	Associate
Department:	Intellectual Property  Patents
Location:	Gurgaon
Type of Job:	Full-time

Reports to:	Consultant2/Program Manager
Cross Department collaboration with:	
   NA
Direct reports include:	NA

Overview
This position executes projects in diverse areas of technology and Patent Services. 
The role involves understanding project requirements and ensuring high quality deliverables for the clients. 

Role and responsibilities

1.	Client
a.	Ensuring high Quality delivery and TAT compliance; 100% compliance to client SLAs.
b.	Ensuring closure of any feedback received on the project
2.	Operations
a.	Meeting individual and project level targets
b.	Ensuring timely delivery of internal & external reports
c.	Executing various processes and standard operating procedures (SOPs)
3.	Misc.
a.	Displaying effective and responsive communication
b.	Participating in Learning and Development activities at various levels; supporting various BU wide initiatives (as required)
c.	Complying to all specific company policies to apply without exception, including but not limited to compulsory adherence of ISO/IEC 27001:2013 guidelines

   
 Qualification & attributes	
Experience 		
		In-depth knowledge of technical literature in the area of subject matter expertise

		Good knowledge of various Patent Services, including Prior Art Searching, Infringement Analysis, Patent Analytics, etc, as per the type of experience and exposure

		Knowledge of US Patent Law (35 USC § 101, 102, 112 etc.), as per the type of experience and exposure

		Ability to analyze complex issues and apply analytical thinking 
		Medium level of computer proficiency in MS Office suite of applications.
Education		B.E./B.Tech. in Electronics and Communication Engineering, Computer Science and Engineering, Information Technology or equivalent
Personal attributes		Must be well organized, dynamic, and action-orientated, which meets deadlines and makes it happen.
		Must have ability to build and maintain relationships, and work confidently with people at all levels
		Must possess an enthusiastic and approachable personality.
		Must be an excellent communicator (written and verbal) with the ability to earn trust and credibility.
		
		Must have ability to demonstrate a high degree of confidentiality
		Must be willing to accept responsibility","
Self
",India,UnitedLex Corporation,122010,UnitedLex Corporation,"
Core Engineering,IT/Software,Finance,Analytics
","15th floor, Building 6, Tower C, DLF Phase 3, Gurgaon",,,"GD,Online/Offline test (Max 30 mins)",IP,,,Associate,0.0,9,"1100000 INR  [Compensation Components				Annual (INR)
A	Base Pay			990,000
i)	Basic Salary			346,500
ii)	House Rent Allowance (HRA)			173,250
iii)	FBP/Special Allowance			428,670
iv)	Retirals - Employers Contribution to Provident (PF) @ 12% of basic			41,580
				
B	Variable Pay (Target)*			110,000
	Total Cost to Company 			1,100,000]",No
"
Private
",Navi Mumbai,"The Academic Consultant is responsible for taking Live Online lectures in the K  12 segment of US and India, creating, monitoring, improving the content as required by our education services department from time-to-time. The position requires excellent oratory skills, capability of educating in the K-12 segment, content review, content editing, and content writing skills of the subject of your choice. Along with it, time management and finishing skills; as well as working as part of a team and taking lead on specified elements of this project, would be expected. High level of comfort with MS Office and MathML required.","
Contacted by CDC
",India,Green Point Technology Services (India) Pvt Ltd - [Tomorrow's Genius],400614,www.tgcampus.com,"
Teaching / education
","Unit#T241, 4th Floor, Tower#10, International Technology Center, CBD Belapur Station Complex, CBD Belapur, Navi Mumbai - 400614",Between 100 to 500,Below 50,Resume,AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,,"Should have very good communication skills, ability to work in a team",Academic Consultant,0.0,10,700000 INR  [6 to 7 lacs],Bond of 1 year wherever applicable
"
MNC
",Chennai,"Products & Platforms: - Cloud Software Engineering.

An opportunity to be part of team building first of a kind platform, and setting the strategy for the rest of the organization. You will be part of a worldwide development organization, work in agile teams, actively developing solutions. You will have an opportunity to work on the next iteration of cloud native platforms with technologies like Kubernetes, Knative, event driven architectures, and high volume messaging systems. Be part of team building first of a kind platform, and setting the strategy for the rest of the organization. 
Experience or interest in the following areas:
	CNCF:  Kubernetes, Knative, and Cloud Events
	Deployment:  DockerHub, Helm
	Languages:  JavaScript (Node.js), Java, Python
	Open Source Communities and Contribution
	Streaming and Publish Subscribe Technologies
	Entrepreneurial principles
	Agile Development Practices & Tools
	Knowledge in Multithreading programming, Algorithm , Data structure , Collection.
	Excellent communication, collaboration, reporting, analytical and problem-solving skills .
	Knowledge and/or expertise of an object oriented (C++, Java, Python or any other)","
Self
",India,HCL Technologies,600058,www.hcltech.com,"
Core Engineering,IT/Software
","94, South Phase AMB-4, Ambattur Industrial Estate Rd, Ambattur, Chennai, Tamil Nadu 600058",>5000,,"Resume,Online/Offline test (Max 30 mins)",AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,,65% consistency in academics,Software Engineer - Products & Platforms,0.0,6,"850000 INR  [Basic- 17708
HRA- 8854
Other Comps - 32670
Monthly - 59232]",NO
"
Private
",Bangalore,"Designation: Associate  Content Development
TEAM: CONTENT

As an Associate  Content Development, you will be responsible for
●	Creation of pedagogically rich content and assessments across Math, Science, English and general aptitude.
●	Making videos, films, games, simulations, adaptive-learning-journeys driven by cutting-edge pedagogy.
●	Building great scripts & storyboards for effective multimedia communication of content.
●	Mentoring students across the globe through various channels.
●	Taking classes across major centres in Bangalore for grades 1 through 12.
●	Interacting with the tech and product teams to suggest product features, try different teaching strategies, request specific data points as feedback, and make sure the product aligns with our vision for education. 
●	Integrating all of the above creations into deployable formats.

If you believe you have what it takes to be a part of Indias fastest-growing in-house edutainment team, you could fit in easily. Every role is an interdependent, and sometimes, cross-functional one.
You are expected to
●	have a passion for education, along with strong subject knowledge
●	be able to map theoretical knowledge to practical applications
●	have impeccable communication skills - verbal and written; a keen intuition for        
language
●	be a creative thinker and a meticulous editor with great attention to detail
●	show adaptability and quick learning of new concepts and tools
●	Show demonstrated ability to multi-task and think creatively while meeting deadlines
●	be able to make learning easy for students from different backgrounds and of different cognitive abilities
●	be a self-driven quick learner
●	immerse yourself in new problems and quickly find solutions
●	ideate and implement effective pedagogy and different teaching methodologies
●	be kind, collaborative, and a team player who people love working with 
●	have the ability to manage schedules and prioritize own work and that of others
●	have prior writing experience. Prior teaching experience is a plus.","
Self
",India,BYJU'S - The Learning App,560029,byjus.com,"
Teaching / education
","2nd Floor, Tower D, IBC, 4/1",>5000,,Online/Offline test (Max 30 mins),AT_AE_AG_AR_BT_ET_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,,,Associate - Content Development,0.0,9,800000 INR  [800000 INR [CTC = 700000 LPA (Gross) + 100000 LPA(Variable)]],NO
